1.400	-784.119596
1.500	-784.290452
1.600	-784.413246
1.700	-784.499761
1.800	-784.558806
1.900	-784.598074
2.000	-784.623677
2.100	-784.639226
2.200	-784.648072
2.300	-784.652428
2.400	-784.653610
2.500	-784.652729
2.600	-784.650596
2.700	-784.647477
2.800	-784.643595
2.900	-784.639330
3.000	-784.635005
3.100	-784.630680
3.200	-784.626367
3.300	-784.622143
3.400	-784.618111
3.500	-784.614364
3.600	-784.610887
3.700	-784.607637
3.800	-784.604603
3.900	-784.601804
4.000	-784.599226
4.100	-784.596953
4.200	-784.594961
4.300	-784.593222
4.400	-784.591718
4.500	-784.590436
4.600	-784.589380
4.700	-784.588557
4.800	-784.587974
4.900	-784.587633
5.000	-784.587520
5.002	-784.587520
5.100	-784.587626
5.200	-784.587960
5.300	-784.588535
5.400	-784.589351
5.500	-784.590400
5.600	-784.591676
5.700	-784.593173
5.800	-784.594904
5.900	-784.596888
6.000	-784.599152
